2|1|2|0.000000999999999999999955
11|10|155|0.000000000000000000000000
101|100|15050|0.000000000000000000000000
1001|1000|1500500|0.000003999999999999999819
10001|10000|150005000|0.000036000000000000000912
100001|100000|15000050000|0.000366999999999999975981
1000001|1000000|1500000500000|0.002905000000000000030115
10000001|10000000|150000005000000|0.029798000000000001569189
100000001|100000000|15000000050000000|0.260048000000000001374900
1000000001|1000000000|1500000000500000000|2.603750999999999926615146
